1,2,3,4,5,6,7,8,9,10,
Elisabethstift-Schule ,Michael Winter,michael.winter@elisabethstift-berlin.de,
Fritz-Karsen-Schule ,Robert Giese,sekretariat@fritz-karsen.de,
Walter-Gropius-Schule ,Lars Neumann,Gemeinschaftsschule@walter-gropius-schule-berlin.de,
Sophie-Brahe-Gemeinschaftsschule,Dietlind 	Marunke,sophie-brahe-schule@gmx.de,
Anna-Seghers-Schule ,Angelika Jurczyk,09k02@09k02.schule.berlin.de,
SchuleEins ,David Dr. Oels,sekretariat.speicher@schuleeins.de,
Evangelische Schule Berlin Zentrum ,Caroline Treier,info@ev-schule-zentrum.de,
Heinrich-von-Stephan-Gemeinschaftsschule,Meike Massaro,sekretariat@hvs.schule.berlin.de,
B.-Traven-Gemeinschaftsschule,Philipp 	Wendland,	sekretariat@btg.schule.berlin.de,
Emanuel-Lasker-Schule ,Thomas Herold,sekretariat@els.schule,
Tesla-Schule ,Maja Wessolowski,sekretariat@tesla-schule.de,
Freie Montessori Schule Köpenick ,Uta; Schäfer Voigt,post@montessori-schule-berlin.de,
Wilhelm-von-Humboldt-Gemeinschaftsschule,Judith-Maria Bauch,sekretariat@wvh-gemeinschaftsschule.de,
Internationale Lomonossow-Schule Berlin ,Maria Afanassieva,tiergarten@lomonossow-schulen.de,
Carl-von-Ossietzky-Schule ,Michael Dahms,	sekretariat@cvo-berlin.de,
Lina-Morgenstern-Schule ,Thomas Mühlbach,	schulleitung@lmg.schule.berlin.de,
Demokratische Schule X ,Jochen Benz,info@demokratische-schule-x.de,
Grüner Campus Malchow ,Tobias Barthl,schulleiter@gruener-campus-malchow.de,
Grünauer Gemeinschaftsschule,Sabine Scholze,sekretariat@gruenauer-schule.de,
Internationale Lomonossow-Schule Berlin Marzahn ,Liliya Ter-Zakharyan,marzahn@mitra-schulen.de,
Platanus Schule Berlin ,Zoia Grüning,info@platanus-schule.de,
MeineSchuleBerlin ,Marisa 	Krieger Barreira,meineschuleberlin@gmx.de,
Paula-Fürst-Schule ,Brigitte Dr. Kather,sekretariat@paula-fuerst.schule.berlin.de,
Wolfgang-Amadeus-Mozart-Schule ,Martin 	Klimont,	sekretariat@mozart.schule.berlin.de,
Gemeinschaftsschule nach der Pädagogik Berthold Ottos,Th. Gohlke,sekretariat@berthold-otto-schule.de,
Lauder Beth-Zion Schule ,Sabine 		Kuchling,sekretariat@team.lauderschule.de,
Netzwerk-Schule ,Tilo Birk,schule@netzwerkspielkultur.de,
Gemeinschaftsschule auf dem Campus Rütli,Cordula Heckmann,schulleitung@campusruetli.de,
Alternativschule Berlin ,Sientje Arzt,info@alternativschule-berlin.de,
Friedenauer Gemeinschaftsschule,Uwe Runkel,07K12@07K12.schule.berlin.de,
Deutsch Skandinavische Gemeinschaftsschule,Ariane Ahlgrimm,info@dsg-schule.de,
Montessori-Gemeinschaftsschule Berlin-Buch,Hendrikje Jakobsen,info@karuna-mgbb.de,
Theodor-Heuss-Gemeinschaftsschule,Annedore Brüske-Dierker,sekretariat@thgberlin.de,
Campus Hannah Höch ,Viola Ristow,12K12@12K12.schule.berlin.de,
Marcana-Schule ,Brigitte Wronski,marcanaschule@t-online.de,
Gemeinschaftsschule Campus Efeuweg,Reinald Fischer,verwaltung@campus-efeuweg.de,
Paul-und-Charlotte-Kniese-Schule ,Birgit Danicke,sekretariat@kniese-schule-berlin.de,
Anna-Essinger-Gemeinschaftsschule,Andreas Hanika,	sekretariat-os@aegs.de,
Freudberg Gemeinschaftsschule,Marianne Friedrich,info@freudbergschule.de,
Gretel-Bergmann-Gemeinschaftsschule,Katja Rehnitz,	gb-gems@mail.de,
APEGO-Schule Berlin ,Aida; Hoffmann Suerdieck,jana.hoffmann@apego-schule.de,
