1,2,3,4,5,6,7,8,9,10,
Katholische Schule Sankt Ludwig ,Raphael (komm.) Modehn,kontakt@ludwig-gs.de,
Nord-Grundschule,Monika Leisner,	sekretariat@nord-grund-schule.berlin.de,
Süd-Grundschule,Vicki Würsig,info@sued-grundschule.de,
Mühlenau-Grundschule,Magdalena Ohlendorf,	sekretariat@muehlenau.de,
Zinnowwald-Grundschule,Gudrun Mojem,Sekretariat@zinnowwald.schule.berlin.de,
Dreilinden-Grundschule,Britta Ullrich,sekretariat@dreilinden-grundschule.de,
Grundschule am Buschgraben,Borika van Dorp,kontakt@grundschuleambuschgraben.de,
KreativitätsGrundschule Berlin Friedrichshain,Elisabeth Schmidt,schule-fh@krea-schulzentrum.de,
Comenius-Schule,Ulrike Walther,	schulleitung@schule-comenius.de,
Johannes-Tews-Grundschule,Sabine Herrmann,schulleitung@jtg-berlin.de,
Pestalozzi-Schule,Dorothea Winterhof,epost@pestalozzi-schule-berlin.de,
Königin-Luise-Stiftung,Matthias Dr. Schönleber,gymnasium@kls-berlin.de,
Berlin Cosmopolitan School,Yvonne; Erk Wende,mail@cosmopolitanschool.de,
Fläming-Grundschule,Christiane Wendt,flaeming@schulen-tempelhof-schoeneberg.de,
Stechlinsee-Grundschule,Carola Leppin,Stechlinsee-Grundschule.Cids@t-online.de,
Grundschule am Barbarossaplatz,Sven Riechert,07g18@07g18.schule.berlin.de,
Private Goethe-Schulen,Oksana Berger,sekretariatgoetheschulenberlin@gmail.com,
Freie Integrative Montessori Grundschule Pankow,Simone Just,montessori-schule-pankow@karuna-ev.de,
Sachsenwald-Grundschule,Kornelia Weyand,sekretariat@sachsenwald.schule.berlin.de,
Dunant-Grundschule,Thomas 	Schumacher,sekr@dunant-grundschule.de,
Rothenburg-Grundschule,Kerstin Krins,schulleitung@rothenburg-grundschule.de,
Grundschule am Insulaner,Sandra Khalatbari,	sekretariat.gsai@t-online.de,
Alt-Lankwitzer Grundschule,Angela Efinger,buero@a-l-gs.schule.berlin.de,
Paul-Schneider-Grundschule,Joachim Syska,sekretariat@06g21.schule.berlin.de,
Herman-Nohl-Schule ,Matthias Ziegfeld,sekretariat@nohl-schule.de,
Giesensdorfer Grundschule,Konstanze Kiesner,	sekretariat@giesensdorfer.grundschule.berlin.de,
Kronach-Grundschule,Volker Nink,	schulleitung@kronach.schule.berlin.de,
Grundschule unter den Kastanien,Kersten Harnack,info@kastanie.schule.berlin.de,
Clemens-Brentano-Grundschule,Angela Sommerlatte,	schulleitung@c-brentano-grundschule.de,
Käthe-Kruse-Grundschule,Gabriele Pape,Kaethe-Kruse-Grundschule@t-online.de,
Grundschule am Königsgraben,Evelyn Lehmisch-Rambo,	sekretariat@grundschule-am-koenigsgraben.de,
Freie Schule in Berlin , Hillert,freieSchuleinBerlin@t-online.de,
Private Kant-Schule ,Ulrich Gaul,info@kant-grundschule.de,
Paul-Simmel-Grundschule,Thomas Dr. Albrecht,sekretariat@paulsimmel.schule.berlin.de,
Tempelherren-Grundschule, 	N.N.,	sekretariat@tempelherren.schule.de,
Käthe-Kollwitz-Grundschule,Sandra Grosser,	sekretariat@kollwitz-gs.schule.berlin.de,
Schule am Pegasuseck ,Ines Rick,	09g11@09g11.schule.berlin.de,
Grundschule im Hofgarten,Hans-Ulrich Neuhof,sekretariat@hofgarten.schule.berlin.de,
Otto-Wels-Grundschule,Steffen Sibler,sekretariat@otto-wels.schule.berlin.de,
Grundschule am Teutoburger Platz,Katrin Kosmata,	schulleitung@teute.schule.berlin.de,
Neumark-Grundschule,Hans-Peter Föll,sekretariat@neumark.schule.berlin.de,
Kurt-Schumacher-Grundschule,Lutz Geburtig,02g12@02g12.schule.berlin.de,
Charlotte-Salomon-Grundschule,Claudia Buchert,Sekretariat@02G13.schule.berlin.de,
Galilei-Grundschule,Yvonne André,sekretariat@galilei-grundschule.de,
Katholische Schule Sankt Marien , Bielsky,Sekretariat@kssm-gs.schulerzbistum.de,
Immanuel-Grundschule,Esther Dichristin,immanuel@christburg-campus.de,
Bouché-Schule ,Viola Seiberl,sekretariat@bouche.schule.berlin.de,
Sonnenblumen-Schule ,Roland Hagelstange,	sekretariat@sonnenblumen.de,
Melli-Beese-Schule ,Jeannette Marzano,Sekretariat@melli-beese.schule.berlin.de,
Heide-Schule ,Regina Maier,heidegrundschule-berlin@gmx.de,
