Käthe-Kollwitz-Gymnasium Musikgymnasium,  Herr  Zinkann, gy-kollwitz@rostock.de
John-Brinckman-Gymnasium Güstrow,  Herr  Rädke, sekretariat@brinckman.de
Friedrich-Ludwig-Jahn-Gymnasium Greifswald,  Herr Dr. Albrecht, kontakt@jahngymnasium.de
Goethe-Gymnasium Musikgymnasium,  Herr  Binder, sekretariat@ggdm.de
Europaschule Gymnasium Teterow,  Frau  Klaaßen, post@egt-mv.de
Gymnasium Alexander von Humboldt,  Herr  Burmeister, sekretariat@humboldt-greifswald.de
, , 
, , 
, , 
CJD Christophorusschule Rostock Gymnasium mit Grundschule und Orientierungsstufe,  Herr  Kästner, cjd.rostock@cjd.de
Erasmus-Gymnasium,  Herr  Schröder, gy-erasmus@rostock.de
Gymnasium Sanitz,  Frau Dr. Schulz, post@gymnasium-sanitz.de
Integrierte Gesamtschule Johann Wolfgang von Goethe ohne gymnasiale Oberstufe,  Frau Dr. Obermeier, Sekretariat@igs-wismar.de
Verbundene Regionale Schule und Gymnasium Tisa von der Schulenburg,  Frau Dr. Skodda, sekretariat@kgsdm.de
Niels-Stensen-Schule Katholische Kooperative Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Frau  Bollesen-Brüning, sekretariat-gs@nss-sn.de  (GS)
Gymnasiales Schulzentrum Wittenburg Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Kühnel, info@schulzentrum-wittenburg.de
Schulzentrum Kühlungsborn Verbundene Regionale Schule und Gymnasium,  Frau  Schmidt, info@schulzentrum-kborn.de
Gymnasiales Schulzentrum Fritz Reuter Dömitz Kooperative Gesamtschule mit gymasialer Oberstufe, Grundschule und Schule mit dem Förderschwerpunkt Lernen,  Frau  Timmermann, info@schulzentrum-doemitz.de
Gymnasiales Schulzentrum Felix Stillfried Kooperative Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Henke, kontakt@schulzentrum-stralendorf.de
Integrierte Gesamtschule Bertolt Brecht mit gymnasialer Oberstufe,  Frau  Arndt, info@brechtschule-schwerin.de
, , 
, , 
, , 
Stella - Kooperative Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Gritzner, ralf.gritzner@internationaler-bund.de
, , 
Evangelische Schule Sankt Marien Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Quaschning, info@evs-nb.de
Schulcampus Röbel Verbundene Regionale Schule und Gymnasium,  Herr  Richter, info@schulcampus-roebel.de
Integrierte Gesamtschule Walter Karbe ohne gymnasiale Oberstufe,  Frau Dr. Klameth-Maronde, igs.sekretariat@neustrelitz.de
Schulzentrum am Sund Kooperative Gesamtschule mit gymnasialer Oberstufe,  Frau  Landt, schulzentrum@stralsund.de
Christliche Gemeinschaftsschule Jona Schule Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Schwabe, gemeinschaft@jona-schule.de
