Abendrothschule<br>Grundschule,Abendroth-GS@cuxhaven.de
Adam-Riese-Schule<br>Grundschule,info@adamrieseschule.de
Adolf-Grimme-Gesamtschule<br>,igs@landkreis-goslar.de
Adolf-Grimme-Schule<br>Grundschule,sekretariat@adolfgrimmeschule.de
Adolf-Reichwein-Schule<br>Grundschule,adolf-reichwein-schule.langenh@t-online.de
Adolf-Reichwein-Schule<br>Grundschule,ars@goettingen.de
Albanischule<br>Grundschule,albani@goettingen.de
Albert-Einstein-Gesamtschule<br>KGS Laatzen,verwaltung@kgslaatzen.eu
Albert-Einstein-Gymnasium<br>,schulleitung@aeg-buchholz.de
Albert-Einstein-Gymnasium<br>,sekretariat@einstein-gymnasium-hameln.de
Albert-Schweitzer-Gymnasium<br>,asg@wolfsburg.de
Albert-Schweitzer-Realschule<br>,albert-schweitzer-rs-lohne@t-online.de
Albert-Schweitzer-Schule<br>Grundschule,ass-gf@t-online.de
Albert-Schweitzer-Schule<br>Grundschule,info@albert-schweitzer-gs.de
Albert-Schweitzer-Schule<br>Grundschule,kontakt@grundschule-vechelde.net
Albert-Schweitzer-Schule<br>Grundschule,schulleitung@ass-lauenau.de
Albert-Schweitzer-Schule<br>,GSAlbert-Schweitzer-Schule@Hannover-Stadt.de
Albert-Schweitzer-Schule<br>Gymnasium,ass-nienburg@web.de
Albert-Schweitzer-Schule<br>Hauptschule,Albert-Schweitzer-HS.Vechelde@t-online.de
Albert-Schweitzer-Schule<br>,schulleitung@ass-goltern.de
Albert-Schweitzer-Schule<br>Verlässliche Grundschule,schulleitung@ass-wunstorf.de
Albert-Schweitzer-Schule Lehrte<br>Grundschule VGS,albert-schweitzer-schule@lehrte.de
Albert-Trautmann-Schule<br>Oberschule,verwaltung@ats-werlte.de
Albertus-Magnus-Gymnasium<br>,sekretariat@amg-friesoythe.de
Albertus-Magnus-Schule<br>Realschule in kirchl. Trägerschaft,albertus-magnus-schule@t-online.de
Alexanderschule<br>Hauptschule,alexanderschule@wallenhorst.de
Alexanderschule Vechta<br>Grundschule f. Schüler kath. Bek,verwaltung@alexanderschule-vechta.net
Alexander-von-Humboldt-Schule<br>KGS Wittmund,info@kgs.wittmund.de
Aller-Oker-Schule<br>Grundschule,schulleitung@aller-oker-schule.de
Alpheideschule Nienburg<br>Grund- und Förderschule,info@alpheideschule-nienburg.de
Altendorfer Grundschule<br>,gs-altendorf@schulen-noh.de
Altes Gymnasium<br>,sekretariat@altesgymnasium.de
Altstadtschule<br>Grundschule,Altstadtschule-Salzgitter.info@t-online.de
Altstädter Schule<br>Grundschule,info@altstaedter-grundschule.de
Altstädter Schule<br>Grundschule,schulleitung@altstaedter-schule.de
Amandus-Abendroth-Gymnasium<br>,info@aag-cuxhaven.net
Ameisenschule Meinersen<br>Offene Ganztagsgrundschule,mail@gsmeinersen.de
Angelaschule<br>Gymnasium in freier Trägerschaft,angelaschule@t-online.de
Anna-Sophianeum<br>Gymnasium,Gymnasium.Anna-Sophianeum@t-online.de
Anne-Frank-Oberschule Bergen<br>mit gymn. Angebot,schulverwaltung@obs-bergen.de
Anne-Frank-Schule<br>Grundschule,info@anne-frank-schule.lueneburg.de
Anne-Frank-Schule<br>Oberschule,AFS-Meppen@t-online.de
Anne-Frank-Schule<br>Oberschule,Anne-Frank-Schule@molbergen.de
Ansgarischule<br>Grundschule,ansgarischule.haren@gmx.de
Ansgar-Schule<br>Grundschule,ansgarschule.twist@t-online.de
Antoniusschule<br>Grundschule,buero@antoniusschule.de
Antoniusschule HRS Kath. Schule in<br>fr.Tr. , Ersatzschule,Antoniusschule-Thuine@t-online.de
Antonius von Padua Grundschule Bethen<br>f. Schüler kath. Bek,grundschule.bethen@ewetel.net
Apollonia Oberschule Uelzen<br>,imke.pape@obs-uelzen.de
Appelsnut Grundschool<br>Hollern-Twielenfleth,grundschule.hollern-Twfl@t-online.de
Artland-Gymnasium<br>,gy-artland@t-online.de
Asternschule Nordstemmen<br>,gsn13@t-online.de
Astrid-Lindgren-<br>Grundschule Heiligenfelde,GS.Heiligenfelde@syke.de
Astrid-Lindgren-Grundschule<br>,sek@algs-burgdorf.de
Astrid-Lindgren Grundschule Neuenburg<br>,gs.neuenburg@zetel.de
Astrid-Lindgren-Grundschule Rühle<br>,a.lindgren-gs.ruehle@ewetel.net
Astrid-Lindgren-Grundschule Sedelsberg<br>,gs-sedelsberg@ewetel.net
Astrid-Lindgren-Grundschule Sehnde<br>,astrid.lindgren@grundschulen-sehnde.de
Astrid-Lindgren-Schule<br>Elze,info@grundschule-elze.de
Astrid-Lindgren-Schule<br>Grundschule Almhorst / Lohnde,Sekretariat@als-seelze.de
Astrid-Lindgren-Schule<br>Grundschule,Astrid-Lindgren-Schule.NOM@t-online.de
Astrid-Lindgren-Schule<br>Grundschule,grundschule.astrid-lindgren-schule@freenet.de
Astrid-Lindgren-Schule<br>Grundschule in Achim,als-achim@t-online.de
Astrid-Lindgren-Schule<br>Grundschule,postandie@alsgf.de
Astrid-Lindgren-Schule<br>Hauptschule,Astrid-Lindgren-Schule-Dud@t-online.de
Astrid-Lindgren-Schule<br>mit Förderschulkl. Schwerpkt. Sprache,astrid-lindgren-schule@holzminden.de
Astrid-Lindgren-Schule<br>Verlässliche Grundschule,info@gs-lastrup.de
Astrid-Lindgren-Schule Göttingen<br>Grundschule,ALiS@Goettingen.de
Astrid-Lindgren-Schule Kirchdorf<br>Grundschule,sekretariat@als-kirchdorf.de
Astrid-Lindgren-Südkreisschule<br>Grundschule,verwaltung@gs-clenze.de
Athenaeum<br>Gymnasium,sl@athenaeum-stade.de
Auburg-Schule<br>Wagenfeld,info@auburgschule.de
Aue-Geest-Gymnasium Harsefeld<br>,sekretariat@gymnasium-harsefeld.de
Aue-Grundschule Ahausen<br>,grundschule-ahausen@t-online.de
Aue-Grund-Schule<br>,grundschule.garstedt@ewetel.net
Aue-Mehde-Grundschule<br>Zeven,gs.klostergang@ewetel.net
Aueschule<br> Verlässliche Grundschule Aligse und Steinwedel,GS-Aueschule@lehrte.de
Aueschule Wendeburg<br>Oberschule,sekretariat@obs-aueschule-wendeburg.de
Auetalschule Altes Amt<br>Oberschule,Auetalschule-Kalefeld@t-online.de
August-Benninghaus-Schule<br>- Oberschule -,info@obsankum.de
Aurelia-Wald-Gesamtschule Uetze<br>,sekretariat@awg-uetze.de
Barbara-Schule<br>VGS,barbara_schule@t-online.de
Basbergschule<br>Grundschule 4,gs4@hameln.de
Bödiker Oberschule<br>,info@boediker-oberschule.de
BeekeSchule<br>Oberschule,verwaltung@beekeschule.de
Benedikt-Grundschule<br>f. Schüler kath. Bek.,kgs.fuerstenau@t-online.de
Benedikt-Schule<br>Oberschule Visbeck,schulzentrum.visbek@ewetel.net
Berlin-Schule<br>Grundschule,schule@berlin-schule.net
Bernard-Rein-Schule<br>Grundschule,bernard.rein@ewetel.net
Bernhard-Overberg-Schule<br>Grundschule f. Schüler kath. Bek.,overbergschule@osnanet.de
Bernhard-Riemann-Gymnasium<br>,info@brgs.de
Bernhardschule Sögel<br>Grundschule,info@grundschule-soegel.de
Bernhard-Varenius-Schule<br>Haupt- und Realschule,bernhard-varenius-schule@t-online.de
Bertha-von-Suttner-Realschule<br>,schulleitung.bvs-rs@osnanet.de
Bertolt-Brecht-Gesamtschule<br>,sekretariat@bbg-seelze.de
Bühner-Bach-Schule<br>Grundschule Achmer,gs-achmer@t-online.de
Bischöfl. Gymnasium Marianum<br>in freier Trägerschaft,marianum.meppen@t-online.de
Bismarckschule<br>Gymnasium,Gy-Bismarckschule@hannover-stadt.de
Bleickenschule<br>Hauptschule,schulleitung@bleickenschule.de
Blumläger Schule Celle<br>Grundschule,blumlaeger.schule@t-online.de
Bodenstedt-Wilhelmschule Peine<br>Realschule - Hauptschule - Offene Ganztagsschule,sekretariat@bowi-peine.eu
Bonifatiusschule<br>Grundschule,Bonifatiusschule@geeste.de
Bonifatiusschule<br>Grundschule f. Schüler kath. Bek.,Bonifatiusschule-Hannover@web.de
Bonifatiusschule<br>Oberschule in kirchl.Träg.,info@bonifatiusschule-goettingen.de
Bonifatiusschule I<br>Grundschule f. Schüler kath. Bek,boni1@goettingen.de
Brakenhoffschule<br>Grundschule,leitung@brakenhoffschule.de
