Herman-Nohl-Schule<br>Grundschule,hns@goettingen.de
Mittelbergschule<br>Grundschule,
Katholische Grundschule<br>Holzminden,schulleitung.gs-karlstr@holzminden.de
Adam-Riese-Schule<br>Grundschule,info@adamrieseschule.de
Grundschule Otter<br>,sekretariat@gs-otter.de
Grundschule Kreideberg<br>,info@gs-kreideberg.lueneburg.de
Grundschule Elsdorf<br>,sekretariat@gs-elsdorf.de
Verlässliche Grundschule Hambergen<br>,vgs-hambergen@t-online.de
Grundschule Versen<br>,grundschule.versen@ewetel.net
Grundschule Hesepe<br>,gshesepe@t-online.de
Grundschule Moorhusen<br>,gs.moorhusen@suedbrookmerland.de
Grundschule Ostrhauderfehn<br>,grundschule-ostrhauderfehn@ostrhauderfehn.de
Grundschule Rajen<br>,vgs-rajen@ewetel.net
Grundschule Lengenerland<br>, gslengenerland@gmx.de
Grundschule Esens-Süd<br>Verlässliche Grundschule,buero@gsess.de
Grundschule Broitzem<br>,gs.broitzem@braunschweig.de
Ludgerischule<br>Grundschule f. Schüler kath. Bek.,gs-ludgeri@stadt-helmstedt.de
Grundschule Königslutter<br>,gs-koenigslutter@t-online.de
Freie Waldorfschule Lindenstraße Osterholz-Scharmbeck<br>- Ersatzschule in freier Trägerschaft -,schulleitung@freie-waldorfschule-lindenstrasse.de
Grundschule Harlingerstraße<br>f. Schüler kath. Bek,kath.gs.harl@t-online.de
Grundschule Stadtmitte<br>,gs-mitte@wilhelmshaven.de
Grundschule Voslapp<br>,gs-voslapp@stadt.wilhelmshaven.de
Grundschule Wachtum<br>,
,
,
,
Wallschule Wildeshausen<br>Grundschule,sekretariat@wallschule.info
Grundschule Rehden<br>,gs-rehden@schulnet.diepholz.de
Grundschule Luthe<br>,schule@gs-luthe.de
Leinebergschule<br>Grundschule,Lbs@goettingen.de
Verlässliche Grundschule Bodenburg<br>,vgs.bodenburg@t-online.de
Grundschule Sorsum<br>,gs-sorsum@schulen-hildesheim.de
,
Grundschule Dannenberg<br>,schulleitung@grundschule-dannenberg.de
Grundschule Grasberg<br>,gs.grasberg@ewetel.net
Mittelkanalschule<br>Grundschule,mittelkanalschule@ewetel.net
Marienschule Meppen<br>Grundschule,marienschule.meppen@t-online.de
Grundschule Rodenkirchen<br>,Grundschule-Rodenkirchen@t-online.de
Haupt- und Realschule Kreiensen<br>,sz-kreiensen@gmx.de
Ernst-Reinstorf-Schule<br>Oberschule mit gym. Zweig,sekretariat@ers-marschacht.de
Grundschule am Lindhof<br>,GS.AmLindhof@syke.de
,
Robert-Koch-Schule<br>Gymnasium,rks-clz@landkreis-goslar.de
Freie Martinsschule -Förderschule Schw<br>Lernen und geistige Entwicklung i.fr.T,kontakt@freie-martinsschule.de
